DROP,REGION,YEAR,WEEK
1257,6,2001,46
1258,7,2001,46
1259,8,2001,46
1260,0,2001,47
1261,1,2001,47
1262,2,2001,47
1263,3,2001,47
1264,4,2001,47
1265,5,2001,47
1266,6,2001,47
1267,7,2001,47
1268,8,2001,47
1269,0,2001,48
1270,1,2001,48
1271,2,2001,48
1272,3,2001,48
1273,4,2001,48
1274,5,2001,48
1275,6,2001,48
1276,7,2001,48
1277,8,2001,48
1278,0,2001,49
1279,1,2001,49
1280,2,2001,49
1281,3,2001,49
1282,4,2001,49
1283,5,2001,49
1284,6,2001,49
1285,7,2001,49
1286,8,2001,49
1287,0,2001,50
1288,1,2001,50
1289,2,2001,50
1290,3,2001,50
1291,4,2001,50
1292,5,2001,50
1293,6,2001,50
1294,7,2001,50
1295,8,2001,50
1296,0,2001,51
1297,1,2001,51
1298,2,2001,51
1299,3,2001,51
1300,4,2001,51
1301,5,2001,51
1302,6,2001,51
1303,7,2001,51
1304,8,2001,51
1305,0,2001,52
1306,1,2001,52
1307,2,2001,52
1308,3,2001,52
1309,4,2001,52
1310,5,2001,52
1311,6,2001,52
1312,7,2001,52
1313,8,2001,52
1314,0,2002,1
1315,1,2002,1
1316,2,2002,1
1317,3,2002,1
1318,4,2002,1
1319,5,2002,1
1320,6,2002,1
1321,7,2002,1
1322,8,2002,1
1323,0,2002,2
1324,1,2002,2
1325,2,2002,2
1326,3,2002,2
1327,4,2002,2
1328,5,2002,2
1329,6,2002,2
1330,7,2002,2
1331,8,2002,2
1332,0,2002,3
1333,1,2002,3
1334,2,2002,3
1335,3,2002,3
1336,4,2002,3
1337,5,2002,3
1338,6,2002,3
1339,7,2002,3
1340,8,2002,3
1341,0,2002,4
1342,1,2002,4
1343,2,2002,4
1344,3,2002,4
1345,4,2002,4
1346,5,2002,4
1347,6,2002,4
1348,7,2002,4
1349,8,2002,4
1350,0,2002,5
1351,1,2002,5
1352,2,2002,5
1353,3,2002,5
1354,4,2002,5
1355,5,2002,5
1356,6,2002,5
1357,7,2002,5
1358,8,2002,5
1359,0,2002,6
1360,1,2002,6
1361,2,2002,6
1362,3,2002,6
1363,4,2002,6
1364,5,2002,6
1365,6,2002,6
1366,7,2002,6
1367,8,2002,6
1368,0,2002,7
1369,1,2002,7
1370,2,2002,7
1371,3,2002,7
1372,4,2002,7
1373,5,2002,7
1374,6,2002,7
1375,7,2002,7
1376,8,2002,7
1377,0,2002,8
1378,1,2002,8
1379,2,2002,8
1380,3,2002,8
1381,4,2002,8
